"group" "response"
"Group A" -0.560475646552213
"Group A" -0.23017748948328
"Group A" 1.55870831414912
"Group A" 0.070508391424576
"Group A" 0.129287735160946
"Group A" 1.71506498688328
"Group A" 0.460916205989202
"Group A" -1.26506123460653
"Group A" -0.686852851893526
"Group A" -0.445661970099958
"Group A" 1.22408179743946
"Group A" 0.359813827057364
"Group A" 0.400771450594052
"Group A" 0.11068271594512
"Group A" -0.555841134754075
"Group A" 1.78691313680308
"Group A" 0.497850478229239
"Group A" -1.96661715662964
"Group A" 0.701355901563686
"Group A" -0.472791407727934
"Group A" -1.06782370598685
"Group A" -0.217974914658295
"Group A" -1.02600444830724
"Group A" -0.72889122929114
"Group A" -0.625039267849257
"Group A" -1.68669331074241
"Group A" 0.837787044494525
"Group A" 0.153373117836515
"Group A" -1.13813693701195
"Group A" 1.25381492106993
"Group A" 0.426464221476814
"Group A" -0.295071482992271
"Group A" 0.895125661045022
"Group A" 0.878133487533042
"Group A" 0.821581081637487
"Group A" 0.688640254100091
"Group A" 0.553917653537589
"Group A" -0.0619117105767217
"Group A" -0.305962663739917
"Group A" -0.380471001012383
"Group A" -0.694706978920513
"Group A" -0.207917278019599
"Group A" -1.26539635156826
"Group A" 2.16895596533851
"Group A" 1.20796199830499
"Group A" -1.12310858320335
"Group A" -0.402884835299076
"Group A" -0.466655353623219
"Group A" 0.779965118336318
"Group A" -0.0833690664718293
"Group A" 0.253318513994755
"Group A" -0.028546755348703
"Group A" -0.0428704572913161
"Group A" 1.36860228401446
"Group A" -0.225770985659268
"Group A" 1.51647060442954
"Group A" -1.54875280423022
"Group A" 0.584613749636069
"Group A" 0.123854243844614
"Group A" 0.215941568743973
"Group A" 0.379639482759882
"Group A" -0.502323453109302
"Group A" -0.33320738366942
"Group A" -1.01857538310709
"Group A" -1.07179122647558
"Group A" 0.303528641404258
"Group A" 0.448209778629426
"Group A" 0.0530042267305041
"Group A" 0.922267467879738
"Group A" 2.05008468562714
"Group A" -0.491031166056535
"Group A" -2.30916887564081
"Group A" 1.00573852446226
"Group A" -0.709200762582393
"Group A" -0.688008616467358
"Group A" 1.0255713696967
"Group A" -0.284773007051009
"Group A" -1.22071771225454
"Group A" 0.18130347974915
"Group A" -0.138891362439045
"Group A" 0.00576418589988693
"Group A" 0.38528040112633
"Group A" -0.370660031792409
"Group A" 0.644376548518833
"Group A" -0.220486561818751
"Group A" 0.331781963915697
"Group A" 1.09683901314935
"Group A" 0.435181490833803
"Group A" -0.325931585531227
"Group A" 1.14880761845109
